frequency_hz,power,baseline_fit,resonance_fit,total_fit
80.0,0.0010174368938491933,0.0002996784680543443,3.450348869480861e-08,0.0002997129715430391
80.03125,0.0005876621598311598,0.00029967732110780087,3.452833037207904e-08,0.00029971184943817294
80.0625,0.00013910598191516549,0.00029967617416125743,3.455319888381195e-08,0.00029971072736014126
80.09375,0.00024827557773249276,0.000299675027214714,3.4578094268665964e-08,0.0002997096053089827
80.125,0.00020912265546714723,0.00029967388026817056,3.460301656536935e-08,0.00029970848328473594
80.15625,3.5439250960368505e-05,0.0002996727333216271,3.462796581272015e-08,0.0002997073612874398
80.1875,0.00010915988667142143,0.0002996715863750837,3.465294204958632e-08,0.0002997062393171333
80.21875,0.00010632954327995185,0.00029967043942854025,3.467794531490595e-08,0.00029970511737385515
80.25,0.00012539956700098685,0.0002996692924819968,3.4702975647687335e-08,0.0002997039954576445
80.28125,0.00014585223565644913,0.0002996681455354534,3.472803308700914e-08,0.00029970287356854037
80.3125,9.531932180293377e-05,0.00029966699858891,3.475311767202063e-08,0.000299701751706582
80.34375,0.00013394835488535992,0.00029966585164236656,3.4778229441941696e-08,0.0002997006298718085
80.375,0.00026962081814062766,0.0002996647046958231,3.4803368436063125e-08,0.0002996995080642592
80.40625,0.000333233460058415,0.0002996635577492797,3.4828534693746676e-08,0.00029969838628397344
80.4375,0.00025785029962547374,0.00029966241080273625,3.4853728254425306e-08,0.0002996972645309907
80.46875,0.00037360267497391157,0.0002996612638561928,3.487894915760323e-08,0.0002996961428053504
80.5,2.721800591462452e-05,0.0002996601169096494,3.490419744285616e-08,0.00029969502110709225
80.53125,0.000450482282557708,0.00029965896996310594,3.492947314983141e-08,0.00029969389943625575
80.5625,0.00028134539332900257,0.0002996578230165625,3.495477631824809e-08,0.0002996927777928807
80.59375,9.930894265780405e-05,0.00029965667607001907,3.498010698789721e-08,0.000299691656177007
80.625,0.0006134372913095893,0.00029965552912347563,3.50054651986419e-08,0.00029969053458867424
80.65625,0.0002916771038513215,0.0002996543821769322,3.503085099041751e-08,0.0002996894130279226
80.6875,0.0003523184477909022,0.00029965323523038876,3.505626440323182e-08,0.000299688291494792
80.71875,1.3286870262228676e-05,0.0002996520882838453,3.508170547716514e-08,0.0002996871699893225
80.75,0.00016885054900627036,0.0002996509413373019,3.51071742523705e-08,0.0002996860485115543
80.78125,0.0006250456811964951,0.00029964979439075845,3.5132670769073817e-08,0.0002996849270615275
80.8125,0.00010057675299132349,0.000299648647444215,3.515819506757404e-08,0.0002996838056392826
